ID,y
6001,C1
6002,C1
6003,C1
6004,C1
6005,C1
6006,C1
6007,C1
6008,C1
6009,C1
6010,C1
6011,C1
6012,C1
6013,C1
6014,C1
6015,C1
6016,C1
6017,C1
6018,C1
6019,C1
6020,C1
6021,C1
6022,C1
6023,C1
6024,C1
6025,C1
6026,C1
6027,C1
6028,C1
6029,C1
6030,C1
6031,C1
6032,C1
6033,C1
6034,C1
6035,C1
6036,C1
6037,C1
6038,C1
6039,C1
6040,C1
6041,C1
6042,C1
6043,C1
6044,C1
6045,C1
6046,C1
6047,C1
6048,C1
6049,C1
6050,C1
6051,C1
6052,C1
6053,C1
6054,C1
6055,C1
6056,C1
6057,C1
6058,C1
6059,C1
6060,C1
6061,C1
6062,C1
6063,C1
6064,C1
6065,C1
6066,C1
6067,C5
6068,C1
6069,C1
6070,C1
6071,C1
6072,C1
6073,C1
6074,C1
6075,C1
6076,C1
6077,C1
6078,C2
6079,C1
6080,C1
6081,C1
6082,C1
6083,C1
6084,C1
6085,C1
6086,C1
6087,C1
6088,C1
6089,C1
6090,C1
6091,C1
6092,C1
6093,C1
6094,C1
6095,C1
6096,C1
6097,C1
6098,C4
6099,C1
6100,C1
6101,C1
6102,C1
6103,C1
6104,C1
6105,C1
6106,C1
6107,C1
6108,C1
6109,C1
6110,C1
6111,C1
6112,C1
6113,C1
6114,C1
6115,C1
6116,C1
6117,C1
6118,C1
6119,C1
6120,C1
6121,C1
6122,C3
6123,C1
6124,C1
6125,C1
6126,C1
6127,C1
6128,C1
6129,C1
6130,C1
6131,C1
6132,C1
6133,C1
6134,C1
6135,C1
6136,C1
6137,C1
6138,C1
6139,C1
6140,C1
6141,C1
6142,C1
6143,C1
6144,C1
6145,C1
6146,C1
6147,C1
6148,C1
6149,C1
6150,C1
6151,C1
6152,C1
6153,C1
6154,C1
6155,C1
6156,C1
6157,C1
6158,C1
6159,C1
6160,C1
6161,C1
6162,C1
6163,C1
6164,C5
6165,C2
6166,C1
6167,C1
6168,C1
6169,C6
6170,C1
6171,C1
6172,C1
6173,C1
6174,C1
6175,C1
6176,C1
6177,C3
6178,C1
6179,C1
6180,C1
6181,C1
6182,C1
6183,C6
6184,C1
6185,C1
6186,C1
6187,C1
6188,C1
6189,C1
6190,C1
6191,C1
6192,C1
6193,C1
6194,C1
6195,C1
6196,C1
6197,C1
6198,C1
6199,C1
6200,C1
6201,C1
6202,C1
6203,C1
6204,C1
6205,C1
6206,C1
6207,C1
6208,C1
6209,C1
6210,C1
6211,C1
6212,C1
6213,C1
6214,C1
6215,C1
6216,C1
6217,C1
6218,C1
6219,C1
6220,C1
6221,C1
6222,C1
6223,C1
6224,C1
6225,C1
6226,C1
6227,C1
6228,C1
6229,C1
6230,C1
6231,C1
6232,C1
6233,C1
6234,C1
6235,C1
6236,C1
6237,C1
6238,C1
6239,C1
6240,C1
6241,C1
6242,C4
6243,C1
6244,C1
6245,C4
6246,C1
6247,C1
6248,C1
6249,C1
6250,C1
6251,C1
6252,C1
6253,C1
6254,C1
6255,C1
6256,C1
6257,C1
6258,C1
6259,C1
6260,C1
6261,C1
6262,C1
6263,C1
6264,C1
6265,C2
6266,C1
6267,C1
6268,C1
6269,C1
6270,C1
6271,C1
6272,C1
6273,C1
6274,C1
6275,C1
6276,C1
6277,C1
6278,C1
6279,C1
6280,C1
6281,C1
6282,C4
6283,C1
6284,C1
6285,C1
6286,C1
6287,C1
6288,C1
6289,C1
6290,C1
6291,C1
6292,C1
6293,C1
6294,C1
6295,C1
6296,C1
6297,C1
6298,C1
6299,C1
6300,C1
6301,C1
6302,C1
6303,C1
6304,C1
6305,C1
6306,C1
6307,C1
6308,C6
6309,C1
6310,C1
6311,C1
6312,C1
6313,C1
6314,C1
6315,C1
6316,C1
6317,C1
6318,C1
6319,C1
6320,C1
6321,C1
6322,C1
6323,C1
6324,C1
6325,C6
6326,C6
6327,C1
6328,C1
6329,C1
6330,C1
6331,C1
6332,C1
6333,C1
6334,C1
6335,C1
6336,C4
6337,C1
6338,C1
6339,C1
6340,C1
6341,C1
6342,C3
6343,C1
6344,C1
6345,C1
6346,C1
6347,C1
6348,C1
6349,C1
6350,C1
6351,C1
6352,C1
6353,C1
6354,C1
6355,C1
6356,C1
6357,C1
6358,C1
6359,C1
6360,C1
6361,C1
6362,C1
6363,C1
6364,C1
6365,C1
6366,C1
6367,C1
6368,C1
6369,C1
6370,C1
6371,C1
6372,C1
6373,C1
6374,C1
6375,C1
6376,C1
6377,C1
6378,C1
6379,C1
6380,C1
6381,C1
6382,C1
6383,C1
6384,C1
6385,C1
6386,C1
6387,C1
6388,C1
6389,C1
6390,C1
6391,C1
6392,C1
6393,C3
6394,C1
6395,C1
6396,C1
6397,C1
6398,C1
6399,C1
6400,C1
6401,C1
6402,C1
6403,C1
6404,C1
6405,C1
6406,C2
6407,C1
6408,C1
6409,C1
6410,C1
6411,C1
6412,C1
6413,C3
6414,C1
6415,C5
6416,C3
6417,C1
6418,C1
6419,C1
6420,C1
6421,C1
6422,C1
6423,C1
6424,C1
6425,C1
6426,C1
6427,C1
6428,C1
6429,C1
6430,C1
6431,C1
6432,C1
6433,C1
6434,C1
6435,C1
6436,C1
6437,C1
6438,C1
6439,C1
6440,C1
6441,C1
6442,C1
6443,C1
6444,C1
6445,C1
6446,C1
6447,C1
6448,C1
6449,C1
6450,C1
6451,C1
6452,C1
6453,C1
6454,C1
6455,C1
6456,C1
6457,C1
6458,C1
6459,C1
6460,C1
6461,C1
6462,C1
6463,C1
6464,C1
6465,C1
6466,C1
6467,C1
6468,C1
6469,C1
6470,C1
6471,C1
6472,C1
6473,C1
6474,C1
6475,C1
6476,C1
6477,C1
6478,C1
6479,C1
6480,C1
6481,C1
6482,C1
6483,C1
6484,C1
6485,C1
6486,C1
6487,C1
6488,C1
6489,C1
6490,C1
6491,C1
6492,C1
6493,C1
6494,C1
6495,C1
6496,C1
6497,C1
6498,C1
6499,C1
6500,C1
6501,C1
6502,C1
6503,C1
6504,C1
6505,C1
6506,C6
6507,C1
6508,C1
6509,C1
6510,C1
6511,C1
6512,C1
6513,C1
6514,C1
6515,C1
6516,C1
6517,C1
6518,C1
6519,C1
6520,C1
6521,C1
6522,C1
6523,C1
6524,C1
6525,C1
6526,C6
6527,C4
6528,C1
6529,C1
6530,C1
6531,C1
6532,C1
6533,C1
6534,C1
6535,C1
6536,C1
6537,C1
6538,C1
6539,C1
6540,C1
6541,C1
6542,C1
6543,C1
6544,C1
6545,C1
6546,C4
6547,C1
6548,C1
6549,C1
6550,C1
6551,C1
6552,C1
6553,C1
6554,C1
6555,C1
6556,C1
6557,C1
6558,C1
6559,C1
6560,C1
6561,C1
6562,C1
6563,C1
6564,C1
6565,C1
6566,C1
6567,C1
6568,C1
6569,C1
6570,C1
6571,C1
6572,C1
6573,C1
6574,C1
6575,C1
6576,C1
6577,C1
6578,C1
6579,C1
6580,C1
6581,C1
6582,C1
6583,C1
6584,C1
6585,C1
6586,C1
6587,C1
6588,C1
6589,C1
6590,C1
6591,C1
6592,C1
6593,C1
6594,C1
6595,C1
6596,C1
6597,C1
6598,C1
6599,C1
6600,C1
6601,C1
6602,C1
6603,C1
6604,C1
6605,C1
6606,C1
6607,C1
6608,C1
6609,C1
6610,C1
6611,C1
6612,C1
6613,C1
6614,C1
6615,C1
6616,C1
6617,C1
6618,C1
6619,C1
6620,C1
6621,C1
6622,C1
