ID,col_0,col_1,col_2,col_3,col_4,col_5,y
1,A1,0.4239130434782581,310.7,-1.3028032638512588,0.8893280632411067,1737,C3
2,A0,0.5869565217391255,310.1,0.021376474272484798,0.6403162055335968,1483,C1
3,A0,0.9347826086956488,313.3,-0.570491742010098,0.6363636363636364,1507,C1
4,A1,0.4021739130434767,308.6,-0.9216000059065448,0.38735177865612647,1648,C1
5,A2,0.5326086956521721,311.4,-0.38992177772049624,0.5573122529644269,1506,C1
6,A1,0.46739130434782794,309.1,1.1449229187411152,0.6482213438735177,1369,C1
7,A0,0.38043478260869534,309.7,0.7737513254791571,0.3992094861660079,1453,C1
8,A1,0.6630434782608603,310.8,1.2753345596169388,0.49407114624505927,1389,C1
9,A1,0.7826086956521721,311.6,1.4057462004927617,0.7747035573122529,1400,C1
10,A1,0.5869565217391255,309.3,0.5329913730930215,0.3952569169960474,1425,C1
11,A1,0.8043478260869534,312.4,0.7837829901619122,0.043478260869565216,1360,C1
12,A1,0.7826086956521721,310.3,-0.45011176581703016,0.6245059288537549,1584,C1
13,A0,0.6739130434782581,310.7,2.5694193036924142,0.0,1336,C2
14,A2,0.29347826086956275,307.4,-0.48020675986529676,0.7707509881422925,1606,C1
15,A1,0.44565217391303946,308.6,-1.32286659321677,0.4229249011857707,1746,C1
16,A1,0.7391304347826093,310.6,0.0013131449069732513,0.02766798418972332,1439,C1
17,A0,0.25,308.7,0.12169312110004112,0.7035573122529644,1392,C1
18,A2,0.5978260869565162,310.6,0.4126113968999543,0.5375494071146245,1465,C1
19,A1,0.7934782608695627,311.0,-0.27957346621018414,0.37549407114624506,1506,C1
20,A1,0.3152173913043441,307.8,-0.8513783531272554,0.25296442687747034,1627,C1
21,A0,0.1630434782608674,307.8,-0.7209667122514325,0.5612648221343873,1664,C1
22,A1,0.5978260869565162,310.7,0.8138779842101795,0.7826086956521738,1358,C1
23,A0,0.5869565217391255,311.7,0.9141946310377358,0.8656126482213438,1412,C1
24,A1,0.6521739130434767,310.7,-0.8614100178100111,0.33992094861660077,1608,C1
25,A1,0.3152173913043441,308.1,-0.530365083279075,0.1541501976284585,1618,C1
26,A1,0.7065217391304301,310.8,0.3423897441206646,0.11462450592885375,1546,C1
27,A0,0.28260869565216495,307.9,1.445872859223784,0.32411067193675885,1336,C1
28,A1,0.10869565217390686,307.1,-0.6808400535204094,0.7351778656126482,1560,C1
29,A2,0.7065217391304301,309.9,1.1348912540583593,0.458498023715415,1418,C1
30,A1,0.5869565217391255,309.9,0.5329913730930215,0.6126482213438734,1412,C1
31,A0,0.5652173913043441,310.5,0.2922314207068864,0.05533596837944664,1469,C1
32,A1,0.25,309.1,0.9141946310377358,0.6877470355731224,1449,C1
33,A1,0.6847826086956488,310.9,0.3624530734861761,0.05928853754940711,1532,C1
34,A1,0.9021739130434767,312.9,1.7869494584374754,0.1067193675889328,1381,C1
35,A1,0.4130434782608674,308.9,0.3423897441206646,0.7786561264822134,1445,C1
36,A1,0.9239130434782581,312.7,-1.2225499463892138,0.7154150197628458,1838,C1
37,A 0,0.20652173913043015,308.8,0.793814654844668,0.5652173913043478,1485,C1
38,A0,0.9673913043478208,313.5,0.7837829901619122,0.32806324110671936,1390,C1
39,A0,0.28260869565216495,307.6,2.709862609250994,0.5098814229249011,1202,C1
40,A1,0.6521739130434767,310.8,-0.14916182533436123,0.20553359683794464,1560,C1
41,A1,0.3478260869565162,309.6,-1.3629932519477927,0.3952569169960474,1724,C1
42,A0,0.7065217391304301,310.2,-0.5805234066928531,0.8577075098814229,1609,C1
43,A1,0.44565217391303946,309.3,0.663403013968845,0.7312252964426877,1391,C1
44,A1,0.021739130434781373,306.0,-0.27957346621018414,0.06324110671936758,1597,C1
45,A1,0.7826086956521721,311.8,1.2753345596169388,0.533596837944664,1335,C1
46,A2,0.5217391304347814,311.6,-1.0419799820996123,0.3359683794466403,1674,C1
47,A1,0.4021739130434767,308.7,-0.13913016065160544,0.06324110671936758,1426,C1
48,A1,0.5978260869565162,311.8,2.1179943929684115,0.7035573122529644,1323,C1
49,A1,0.4021739130434767,310.1,1.9574877580443213,0.1818181818181818,1362,C1
50,A0,0.9021739130434767,312.1,-1.9147348094993524,0.007905138339920948,1967,C1
51,A1,0.29347826086956275,308.6,-0.6908717182031652,0.22134387351778656,1610,C1
52,A2,0.36956521739129755,309.7,-0.06890850787231645,0.37154150197628455,1565,C1
53,A2,0.3478260869565162,309.4,-0.640713394789387,0.5652173913043478,1573,C1
54,A1,0.9130434782608674,312.5,0.5731180318240445,0.7391304347826086,1397,C1
55,A0,0.6521739130434767,311.0,0.08156646236901802,0.5849802371541502,1495,C1
56,A1,0.7717391304347743,310.3,-0.37989011303774045,0.45454545454545453,1479,C1
57,A2,0.5217391304347814,309.3,-0.17925681938262783,0.6245059288537549,1520,C1
58,A1,0.5434782608695627,311.6,-0.6507450594721428,0.43083003952569165,1607,C1
59,A0,0.45652173913043015,309.2,2.1882160457477005,0.17786561264822134,1314,C1
60,A1,0.9673913043478208,313.8,1.3957145358100058,0.5612648221343873,1401,C1
61,A0,0.46739130434782794,309.4,2.2183110397959678,0.32806324110671936,1283,C1
62,A1,0.5217391304347814,311.4,0.7737513254791571,0.2885375494071146,1418,C1
